WBS ID,Parent ID,Phase,Task Name,Description,Role (Owner),Estimated Hours,Dependency,Status,
1,,Giai đoạn 1 - Nền tảng,Phân tích yêu cầu & tài liệu,"Hoàn thiện SRS, Use Case, ERD, Tech Stack, Thiết kế DB, Thiết kế API",BA / PM,16,,Planned,
1.1,1,Giai đoạn 1 - Nền tảng,Hoàn thiện tài liệu SRS,"Bổ sung chi tiết các mục 3.x, 5.x, 7.x trong SRS",BA,6,,Planned,
1.2,1,Giai đoạn 1 - Nền tảng,Hoàn thiện Use Case chi tiết,Bổ sung đặc tả cho toàn bộ 20 Use Case,BA,6,,Planned,
1.3,1,Giai đoạn 1 - Nền tảng,Rà soát ERD & Tech Stack,"Đảm bảo ERD, schema, tech_stack và API đồng nhất",Architect,4,,Planned,
2,,Giai đoạn 1 - Nền tảng,Khởi tạo dự án backend,"Tạo project Spring Boot, cấu hình cơ bản, cấu trúc feature-first",Backend Dev,12,1,Planned,
2.1,2,Giai đoạn 1 - Nền tảng,Khởi tạo Spring Boot,"Tạo project, cấu hình pom, profile dev, logging",Backend Dev,4,1,Planned,
2.2,2,Giai đoạn 1 - Nền tảng,Cấu hình bảo mật cơ bản,"SecurityConfig, JwtTokenProvider, filter chain, exception handler",Backend Dev,6,2.1,Planned,
2.3,2,Giai đoạn 1 - Nền tảng,Cấu hình JPA & Flyway,"Kết nối MySQL, bật Flyway, tạo migration V1__init_schema.sql",Backend Dev,2,2.1,Planned,
3,,Giai đoạn 1 - Nền tảng,Khởi tạo dự án frontend,"Tạo project Next.js App Router + TypeScript, cấu trúc thư mục",Frontend Dev,10,1,Planned,
3.1,3,Giai đoạn 1 - Nền tảng,Khởi tạo Next.js,"Tạo project, cấu hình tsconfig, eslint, prettier",Frontend Dev,4,1,Planned,
3.2,3,Giai đoạn 1 - Nền tảng,Cấu hình layout & UI cơ bản,"Tạo layout chính, header/footer, theme, page / và /login, /register",Frontend Dev,6,3.1,Planned,
4,,Giai đoạn 2 - Nội dung phim,Xây dựng module Auth backend,"Đăng ký, đăng nhập, logout, refresh token, đổi mật khẩu, /me",Backend Dev,16,2,Planned,
4.1,4,Giai đoạn 2 - Nội dung phim,Entity & Repository auth/user/role,"User, Role, UserRepository, RoleRepository",Backend Dev,4,2.3,Planned,
4.2,4,Giai đoạn 2 - Nội dung phim,Service & Controller Auth,"AuthService, AuthServiceImpl, AuthController",Backend Dev,6,4.1,Planned,
4.3,4,Giai đoạn 2 - Nội dung phim,DTO & Mapper Auth,"LoginRequest, RegisterRequest, AuthResponse, mapper",Backend Dev,4,4.1,Planned,
4.4,4,Giai đoạn 2 - Nội dung phim,Test & tài liệu Auth,"Unit test cơ bản, cập nhật OpenAPI",Backend Dev,2,4.2,Planned,
5,,Giai đoạn 2 - Nội dung phim,Module Movie & Genre backend,"Quản lý phim, thể loại, mapping movie-genre",Backend Dev,24,2.3,Planned,
5.1,5,Giai đoạn 2 - Nội dung phim,Entity & Repository Movie/Genre,"Movie, Genre, MovieGenre và repository tương ứng",Backend Dev,6,2.3,Planned,
5.2,5,Giai đoạn 2 - Nội dung phim,Service & Controller Movie,"MovieService, MovieQueryService, MovieController",Backend Dev,10,5.1,Planned,
5.3,5,Giai đoạn 2 - Nội dung phim,Service & Controller Genre,"GenreService, GenreController, AdminGenreController",Backend Dev,6,5.1,Planned,
5.4,5,Giai đoạn 2 - Nội dung phim,DTO, Mapper & Search,"DTO list/detail, mapper, MovieSpecification",Backend Dev,2,5.2,Planned
6,,Giai đoạn 2 - Nội dung phim,Trang danh sách & chi tiết phim,"Page /movies, /movies/[slug], component movie-card, movie-detail",Frontend Dev,20,3.2,Planned,
6.1,6,Giai đoạn 2 - Nội dung phim,API client movie/genre,"Tạo features/movie/api.ts, hooks.ts, types.ts",Frontend Dev,6,4,Planned,
6.2,6,Giai đoạn 2 - Nội dung phim,Trang /movies,"List phim có phân trang, filter theo genre",Frontend Dev,6,6.1,Planned,
6.3,6,Giai đoạn 2 - Nội dung phim,Trang /movies/[slug],"Hiển thị chi tiết phim, genre, rating, comment placeholder",Frontend Dev,8,6.1,Planned,
7,,Giai đoạn 3 - Tương tác,Module Comment/Rating/Like backend,"Bình luận, đánh giá, thích phim",Backend Dev,24,5,Planned,
7.1,7,Giai đoạn 3 - Tương tác,Entity & Repository comment/rating/like,"Comment, Rating, MovieLike",Backend Dev,6,5.1,Planned,
7.2,7,Giai đoạn 3 - Tương tác,Service & Controller Comment,"CommentService, CommentController",Backend Dev,6,7.1,Planned,
7.3,7,Giai đoạn 3 - Tương tác,Service & Controller Rating,"RatingService, RatingController",Backend Dev,6,7.1,Planned,
7.4,7,Giai đoạn 3 - Tương tác,Service & Controller Like,"LikeService, LikeController, toggle like",Backend Dev,6,7.1,Planned,
8,,Giai đoạn 3 - Tương tác,UI tương tác phim frontend,"Comment list, rating-stars, like-button",Frontend Dev,20,6,Planned,
8.1,8,Giai đoạn 3 - Tương tác,Comment UI,"components/movie/comment-list.tsx, form comment",Frontend Dev,8,7.2,Planned,
8.2,8,Giai đoạn 3 - Tương tác,Rating UI,components/movie/rating-stars.tsx và tích hợp API,Frontend Dev,6,7.3,Planned,
8.3,8,Giai đoạn 3 - Tương tác,Like UI,components/movie/like-button.tsx và tích hợp API,Frontend Dev,6,7.4,Planned,
9,,Giai đoạn 3 - Tương tác,Watchlist & Watch History,"Lưu phim theo dõi, lịch sử xem, tiếp tục xem",Backend Dev,24,5,Planned,
9.1,9,Giai đoạn 3 - Tương tác,Entity & Repository watchlist/watch_logs,"WatchlistItem, WatchLog",Backend Dev,6,5.1,Planned,
9.2,9,Giai đoạn 3 - Tương tác,Service & Controller Watchlist,"WatchlistService, WatchlistController",Backend Dev,6,9.1,Planned,
9.3,9,Giai đoạn 3 - Tương tác,Service & Controller Watch History,"WatchHistoryService, WatchHistoryController",Backend Dev,8,9.1,Planned,
9.4,9,Giai đoạn 3 - Tương tác,UI watchlist & continue watching,"Trang /account/watchlist, continue-watching-card.tsx",Frontend Dev,4,9.2,Planned,
10,,Giai đoạn 4 - Gợi ý,Module Recommendation backend,"RecommendationService, strategy, scoring, endpoints",Backend Dev,24,7,Planned,
10.1,10,Giai đoạn 4 - Gợi ý,Thiết kế thuật toán rule-based,"Định nghĩa score dựa trên genre, history, like, rating, trending",Architect,4,7,Planned,
10.2,10,Giai đoạn 4 - Gợi ý,Triển khai RecommendationService,"Service, scoring service, fallback service",Backend Dev,12,10.1,Planned,
10.3,10,Giai đoạn 4 - Gợi ý,Endpoint /api/recommendations/me & /home,"Controller, DTO RecommendationItem/Response",Backend Dev,8,10.2,Planned,
11,,Giai đoạn 4 - Gợi ý,Trang gợi ý phim frontend,"Trang /recommendations, hiển thị grid phim đề xuất",Frontend Dev,12,10.3,Planned,
11.1,11,Giai đoạn 4 - Gợi ý,API client recommendation,"features/recommendation/api.ts, hooks.ts, types.ts",Frontend Dev,4,10.3,Planned,
11.2,11,Giai đoạn 4 - Gợi ý,Trang /recommendations,"Gọi API, render movie-card, xử lý empty/loading/error",Frontend Dev,8,11.1,Planned,
12,,Giai đoạn 5 - Admin,Module Admin backend,"Movie, genre, user, actor, director, schedule, statistics",Backend Dev,28,5,Planned,
12.1,12,Giai đoạn 5 - Admin,Admin Movie & Genre,"AdminMovieController, AdminGenreController",Backend Dev,8,5.2,Planned,
12.2,12,Giai đoạn 5 - Admin,Admin User,"AdminUserController, khóa/mở khóa, xóa user",Backend Dev,6,4.2,Planned,
12.3,12,Giai đoạn 5 - Admin,Admin Actor/Director/Schedule,"Controller CRUD cho diễn viên, đạo diễn, lịch chiếu",Backend Dev,8,5.1,Planned,
12.4,12,Giai đoạn 5 - Admin,Dashboard thống kê,"DashboardService, AdminDashboardController",Backend Dev,6,7,Planned,
13,,Giai đoạn 5 - Admin,Trang Admin frontend,"Layout admin, trang quản lý phim, thể loại, user, statistics",Frontend Dev,24,6,Planned,
13.1,13,Giai đoạn 5 - Admin,Layout & menu admin,"/admin/layout.tsx, sidebar, phân quyền route",Frontend Dev,6,3.2,Planned,
13.2,13,Giai đoạn 5 - Admin,Trang quản lý phim & thể loại,"/admin/movies, /admin/genres + form CRUD",Frontend Dev,8,12.1,Planned,
13.3,13,Giai đoạn 5 - Admin,Trang quản lý user,"/admin/users, bảng user, lock/unlock",Frontend Dev,4,12.2,Planned,
13.4,13,Giai đoạn 5 - Admin,Trang thống kê,"/admin/statistics, biểu đồ cơ bản",Frontend Dev,6,12.4,Planned,
14,,Giai đoạn 6 - Kiểm thử & hoàn thiện,Kiểm thử tích hợp & sửa lỗi,"Viết test cơ bản, kiểm thử end-to-end các luồng chính",QA / Dev,24,4;5;7;9;10;12,Planned,
14.1,14,Giai đoạn 6 - Kiểm thử & hoàn thiện,Test backend,Test unit/service cho module chính,Backend Dev,12,4;5;7;9;10;12,Planned,
14.2,14,Giai đoạn 6 - Kiểm thử & hoàn thiện,Test frontend,Kiểm thử manual/UI các luồng chính,Frontend Dev,8,6;8;11;13,Planned,
14.3,14,Giai đoạn 6 - Kiểm thử & hoàn thiện,Rà soát tài liệu & demo,"Cập nhật SRS, API, slides demo, chuẩn bị trình bày",PM / BA,4,14.1;14.2,Planned,
